strategy,timestamp,event,model_step,eval/accuracy,eval/pass_at_1,eval/correct,eval/wrong_answer,eval/wrong_format,eval/count,eval/generated_response_tokens,eval/prompt_tokens,eval/total_rollout_tokens,eval/average_response_length,cumulative_rollout_tokens
vanilla,1789653981.8419487,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
vanilla,1789654082.5915504,evaluation,10,0.60546875,0.60546875,155,46,55,256,83991,15581,99572,328.08984375,278280
vanilla,1789654182.582613,evaluation,20,0.640625,0.640625,164,42,50,256,84335,15581,99916,329.43359375,548521
vanilla,1789654282.58549,evaluation,30,0.671875,0.671875,172,39,45,256,84580,15581,100161,330.390625,822210
vanilla,1789654381.9184706,evaluation,40,0.6875,0.6875,176,39,41,256,85085,15581,100666,332.36328125,1084750
vanilla,1789654481.0559974,evaluation,50,0.6953125,0.6953125,178,39,39,256,84353,15581,99934,329.50390625,1347236
vanilla,1789654581.1946878,evaluation,60,0.7109375,0.7109375,182,37,37,256,84372,15581,99953,329.578125,1600923
vanilla,1789654680.1005657,evaluation,70,0.71484375,0.71484375,183,35,38,256,85629,15581,101210,334.48828125,1862719
vanilla,1789654781.1563032,evaluation,80,0.73828125,0.73828125,189,36,31,256,85709,15581,101290,334.80078125,2134923
vanilla,1789654881.2194812,evaluation,90,0.75,0.75,192,33,31,256,85248,15581,100829,333.0,2394308
vanilla,1789654980.4176826,evaluation,100,0.76171875,0.76171875,195,33,28,256,85041,15581,100622,332.19140625,2662559
vanilla,1789655083.0488777,evaluation,110,0.7421875,0.7421875,190,35,31,256,84680,15581,100261,330.78125,2929070
vanilla,1789655181.0830286,evaluation,120,0.76953125,0.76953125,197,35,24,256,85028,15581,100609,332.140625,3185331
vanilla,1789655281.6231277,evaluation,130,0.77734375,0.77734375,199,36,21,256,84478,15581,100059,329.9921875,3448803
vanilla,1789655381.489822,evaluation,140,0.765625,0.765625,196,37,23,256,84014,15581,99595,328.1796875,3720545
vanilla,1789655482.114355,evaluation,150,0.79296875,0.79296875,203,31,22,256,84667,15581,100248,330.73046875,3972957
vanilla,1789655556.6729105,evaluation,152,0.8180439727065959,0.8180439727065959,1079,156,84,1319,439610,80865,520475,333.2903714935557,4023667
dynamic,1789657635.6251235,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
dynamic,1789657779.646871,evaluation,10,0.6015625,0.6015625,154,49,53,256,83358,15581,98939,325.6171875,373798
