timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty_selected_seen_ratio,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after
1789693420.723879,rollout,0,1,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,3664,25591,342.609375,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,25591,difficulty,True,8,8,0,0,21927,25591,0,0,8,8,0,0,0,True,0,0.0,,,,8,0.703125,1.0
1789693430.6697474,rollout,1,2,0.6421875357627869,0.5242696404457092,1.100000023841858,0.0,0.6421875357627869,0.5242696404457092,0.16404297947883606,5.21540641784668e-08,0.9428048729896545,0.0,1.0,1.0,0.796875,0.5625,0.125,0.0,0.125,0.875,24800,3856,28656,387.5,0.6421875357627869,0.5242696404457092,1.100000023841858,0.0,0.6421875357627869,0.5242696404457092,0.16404297947883606,5.21540641784668e-08,0.9428048729896545,0.0,1.0,1.0,0.796875,0.5625,0.125,0.0,0.125,0.875,46727,54247,difficulty,True,8,8,0,0,24800,28656,0,0,16,16,0,0,0,True,8,0.0,,,0.703125,16,0.5625,1.0
1789693439.9251757,rollout,2,3,0.7562500238418579,0.49661552906036377,1.100000023841858,0.0,0.7562500238418579,0.49661552906036377,0.10445312410593033,4.842877388000488e-08,0.745354175567627,0.375,0.625,0.625,0.84375,0.671875,0.375,0.375,0.0,0.625,21210,3192,24402,331.40625,0.7562500238418579,0.49661552906036377,1.100000023841858,0.0,0.7562500238418579,0.49661552906036377,0.10445312410593033,4.842877388000488e-08,0.745354175567627,0.375,0.625,0.625,0.84375,0.671875,0.375,0.375,0.0,0.625,67937,78649,difficulty,True,8,8,0,0,21210,24402,0,0,24,24,0,0,0,True,16,0.0,,,0.6328125,24,0.671875,1.0
1789693449.2682042,rollout,3,4,0.7796875238418579,0.4794771373271942,1.100000023841858,0.0,0.7796875238418579,0.4794771373271942,0.0703710988163948,-0.0009313039481639862,0.5773543119430542,0.625,0.375,0.375,0.921875,0.6875,0.625,0.5,0.125,0.375,24037,3616,27653,375.578125,0.7796875238418579,0.4794771373271942,1.100000023841858,0.0,0.7796875238418579,0.4794771373271942,0.0703710988163948,-0.0009313039481639862,0.5773543119430542,0.625,0.375,0.375,0.921875,0.6875,0.625,0.5,0.125,0.375,91974,106302,difficulty,True,8,8,0,0,24037,27653,0,0,32,32,0,0,0,True,24,0.0,,,0.6458333333333334,32,0.6875,1.0
1789693458.581654,rollout,4,5,0.792187511920929,0.47819259762763977,1.100000023841858,0.0,0.792187511920929,0.47819259762763977,0.14638672769069672,3.725290298461914e-08,0.7453545331954956,0.375,0.625,0.625,0.890625,0.703125,0.375,0.375,0.0,0.625,22563,4080,26643,352.546875,0.792187511920929,0.47819259762763977,1.100000023841858,0.0,0.792187511920929,0.47819259762763977,0.14638672769069672,3.725290298461914e-08,0.7453545331954956,0.375,0.625,0.625,0.890625,0.703125,0.375,0.375,0.0,0.625,114537,132945,difficulty,True,8,8,0,0,22563,26643,0,0,40,40,0,0,0,True,32,0.0,,,0.65625,40,0.703125,1.0
1789693467.9271317,rollout,5,6,0.7765624523162842,0.4842740297317505,1.100000023841858,0.0,0.7765624523162842,0.4842740297317505,0.16451172530651093,6.146728992462158e-08,0.816494882106781,0.25,0.75,0.75,0.890625,0.6875,0.25,0.25,0.0,0.75,22439,3808,26247,350.609375,0.7765624523162842,0.4842740297317505,1.100000023841858,0.0,0.7765624523162842,0.4842740297317505,0.16451172530651093,6.146728992462158e-08,0.816494882106781,0.25,0.75,0.75,0.890625,0.6875,0.25,0.25,0.0,0.75,136976,159192,difficulty,True,8,8,0,0,22439,26247,0,0,48,48,0,0,0,True,40,0.0,,,0.665625,48,0.6875,1.0
1789693477.1039402,rollout,6,7,0.9406249523162842,0.3736218214035034,1.100000023841858,0.0,0.9406249523162842,0.3736218214035034,0.08617188036441803,1.1175870895385742e-08,0.5773491263389587,0.625,0.375,0.375,0.96875,0.84375,0.625,0.625,0.0,0.375,21145,3192,24337,330.390625,0.9406249523162842,0.3736218214035034,1.100000023841858,0.0,0.9406249523162842,0.3736218214035034,0.08617188036441803,1.1175870895385742e-08,0.5773491263389587,0.625,0.375,0.375,0.96875,0.84375,0.625,0.625,0.0,0.375,158121,183529,difficulty,True,8,8,0,0,21145,24337,0,0,56,56,0,0,0,True,48,0.0,,,0.6692708333333334,56,0.84375,1.0
1789693486.2581663,rollout,7,8,0.870312511920929,0.43813446164131165,1.100000023841858,0.0,0.870312511920929,0.43813446164131165,0.07982422411441803,1.4901161193847656e-08,0.5773490071296692,0.625,0.375,0.375,0.890625,0.78125,0.625,0.625,0.0,0.375,22067,3104,25171,344.796875,0.870312511920929,0.43813446164131165,1.100000023841858,0.0,0.870312511920929,0.43813446164131165,0.07982422411441803,1.4901161193847656e-08,0.5773490071296692,0.625,0.375,0.375,0.890625,0.78125,0.625,0.625,0.0,0.375,180188,208700,difficulty,True,8,8,0,0,22067,25171,0,0,64,64,0,0,0,True,56,0.0,,,0.6941964285714286,64,0.78125,1.0
1789693495.4826105,rollout,8,9,1.015625,0.29234614968299866,1.100000023841858,0.0,1.015625,0.29234614968299866,0.07082031667232513,3.166496753692627e-08,0.5773489475250244,0.625,0.375,0.375,0.9375,0.921875,0.625,0.625,0.0,0.375,22196,3760,25956,346.8125,1.015625,0.29234614968299866,1.100000023841858,0.0,1.015625,0.29234614968299866,0.07082031667232513,3.166496753692627e-08,0.5773489475250244,0.625,0.375,0.375,0.9375,0.921875,0.625,0.625,0.0,0.375,202384,234656,difficulty,True,8,8,0,0,22196,25956,0,0,72,72,0,0,0,True,64,0.0,,,0.705078125,72,0.921875,1.0
1789693505.0900235,rollout,9,10,0.7515624761581421,0.48566505312919617,1.100000023841858,0.0,0.7515624761581421,0.48566505312919617,0.0678711012005806,-0.0009313016198575497,0.5773543119430542,0.625,0.375,0.375,0.953125,0.65625,0.625,0.5,0.125,0.375,20613,3480,24093,322.078125,0.7515624761581421,0.48566505312919617,1.100000023841858,0.0,0.7515624761581421,0.48566505312919617,0.0678711012005806,-0.0009313016198575497,0.5773543119430542,0.625,0.375,0.375,0.953125,0.65625,0.625,0.5,0.125,0.375,222997,258749,difficulty,True,8,8,0,0,20613,24093,0,0,80,80,0,0,0,True,72,0.0,,,0.7291666666666666,80,0.65625,1.0
