timestamp,event,model_step,eval/accuracy,eval/pass_at_1,eval/correct,eval/wrong_answer,eval/wrong_format,eval/count,eval/generated_response_tokens,eval/prompt_tokens,eval/total_rollout_tokens,eval/average_response_length,cumulative_rollout_tokens
1789696219.8972309,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
1789696320.8627336,evaluation,10,0.640625,0.640625,164,47,45,256,83523,15581,99104,326.26171875,256712
1789696423.0656366,evaluation,20,0.66015625,0.66015625,169,47,40,256,84045,15581,99626,328.30078125,527041
1789696526.1882813,evaluation,30,0.65625,0.65625,168,45,43,256,84385,15581,99966,329.62890625,812393
1789696630.8160586,evaluation,40,0.671875,0.671875,172,44,40,256,84695,15581,100276,330.83984375,1102457
1789696734.602248,evaluation,50,0.71484375,0.71484375,183,39,34,256,85006,15581,100587,332.0546875,1391718
1789696840.4202168,evaluation,60,0.7265625,0.7265625,186,38,32,256,85150,15581,100731,332.6171875,1677545
1789696943.8437107,evaluation,70,0.73828125,0.73828125,189,35,32,256,84884,15581,100465,331.578125,1969676
1789697048.9315152,evaluation,80,0.76953125,0.76953125,197,31,28,256,85043,15581,100624,332.19921875,2267272
1789697153.3436186,evaluation,90,0.7578125,0.7578125,194,31,31,256,84782,15581,100363,331.1796875,2548484
1789697258.2508144,evaluation,100,0.77734375,0.77734375,199,29,28,256,85117,15581,100698,332.48828125,2837954
1789697363.52134,evaluation,110,0.796875,0.796875,204,30,22,256,84177,15581,99758,328.81640625,3120415
1789697469.0952837,evaluation,120,0.80078125,0.80078125,205,33,18,256,83754,15581,99335,327.1640625,3402100
1789697572.6253784,evaluation,130,0.82421875,0.82421875,211,33,12,256,83493,15581,99074,326.14453125,3688562
1789697677.7272892,evaluation,140,0.828125,0.828125,212,30,14,256,82968,15581,98549,324.09375,3976620
1789697742.0191307,evaluation,141,0.8104624715693708,0.8104624715693708,1069,176,74,1319,436415,80865,517280,330.8680818802123,4005970
