timestamp,event,step,grpo_step,train/loss,train/grad_norm,train/learning_rate,train/policy_entropy,train/response_tokens_in_step,train/step_time,train/elapsed_time,rollout/cumulative_generated_response_tokens,rollout/cumulative_rollout_tokens
1789696229.2599032,optimizer_step,0,1,-0.06902935833204538,0.5390625,2e-05,0.23889751121217132,21869,5.066436529159546,9.362154722213745,21927,25591
1789696239.0294669,optimizer_step,1,2,-0.05075179056975207,0.31640625,2e-05,0.24574301252011327,24665,4.924396753311157,19.13171696662903,46642,54162
1789696248.0193532,optimizer_step,2,3,-0.03281634030872235,0.2734375,2e-05,0.23531956509205382,20478,4.808141231536865,28.121607542037964,67177,77889
1789696257.3865077,optimizer_step,3,4,-0.02497449164207861,0.2001953125,2e-05,0.18672865108633788,23610,4.9471540451049805,37.48875665664673,90842,105170
1789696266.7535393,optimizer_step,4,5,-0.023036677500367576,0.322265625,2e-05,0.23429508365142573,22754,4.960892915725708,46.855791091918945,113645,132053
1789696275.8904247,optimizer_step,5,6,-0.021414624647024854,0.296875,2e-05,0.2067451803204788,21930,4.835341930389404,55.99267315864563,135632,157848
1789696284.9396424,optimizer_step,6,7,-0.01999014248621957,0.28515625,2e-05,0.19916356971134627,21009,4.8100974559783936,65.04189419746399,156699,182107
1789696294.030983,optimizer_step,7,8,-0.016694537800229316,0.201171875,2e-05,0.19265036025038584,21880,4.831310987472534,74.13323187828064,178635,207147
1789696303.040915,optimizer_step,8,9,-0.016760974912333634,0.181640625,2e-05,0.19002831179497118,21390,4.736804246902466,83.14316487312317,200092,232364
1789696312.5796366,optimizer_step,9,10,-0.014574594161653055,0.20703125,2e-05,0.19002830356479813,20804,4.828395843505859,92.68189144134521,220960,256712
1789696330.0489583,optimizer_step,10,11,-0.013236764810767609,0.265625,2e-05,0.1914166963045134,22635,4.8389787673950195,110.1512098312378,243650,282954
1789696340.0297754,optimizer_step,11,12,-0.012226447735790518,0.29296875,2e-05,0.23588341777002975,24731,4.931423902511597,120.13202500343323,268429,311685
1789696349.0558548,optimizer_step,12,13,-0.013471550954416137,0.31640625,2e-05,0.18993909021078909,20194,4.781146049499512,129.15810990333557,288690,335082
1789696358.3123813,optimizer_step,13,14,-0.013753235975214788,0.2119140625,2e-05,0.18677999833315448,21205,4.917194366455078,138.41462874412537,309960,360480
1789696367.5062826,optimizer_step,14,15,-0.013505659576028761,0.236328125,2e-05,0.18189701251079535,22742,4.854198455810547,147.60853600502014,332759,386967
1789696376.8932261,optimizer_step,15,16,-0.012529462471860124,0.2353515625,2e-05,0.2034921118716744,23887,4.965744733810425,156.99547719955444,356695,415783
1789696386.05968,optimizer_step,16,17,-0.012942646808951382,0.291015625,2e-05,0.2133200668299488,22368,4.849403142929077,166.16193342208862,379121,441785
1789696395.4001307,optimizer_step,17,18,-0.013978007849905515,0.3203125,2e-05,0.21453034213862798,25030,4.834090948104858,175.5023798942566,404207,471207
1789696404.5382185,optimizer_step,18,19,-0.013505504193675098,0.271484375,2e-05,0.19463747205034918,21969,4.849049091339111,184.64046621322632,426237,497061
1789696414.0299292,optimizer_step,19,20,-0.012738663104805445,0.2353515625,2e-05,0.1887962117717701,25148,4.961139678955078,194.13218426704407,451433,527041
1789696432.5718203,optimizer_step,20,21,-0.012144029407844373,0.21875,2e-05,0.19725854589486375,24935,4.982142448425293,212.67407512664795,476422,556246
1789696442.1725688,optimizer_step,21,22,-0.02683155386941213,0.326171875,2e-05,0.27900710781012295,24650,4.976608037948608,222.27481842041016,501127,585639
1789696451.6236303,optimizer_step,22,23,-0.02520245472855323,0.228515625,2e-05,0.19304618052140807,25957,4.900716066360474,231.72588443756104,527133,615685
1789696460.7604883,optimizer_step,23,24,-0.02300240310408926,0.26953125,2e-05,0.1900578903284676,21361,4.85021448135376,240.8627371788025,548556,640740
1789696470.223974,optimizer_step,24,25,-0.02286727153331888,0.2333984375,2e-05,0.1888607828720984,25497,4.890538692474365,250.3262231349945,574115,670955
1789696480.1598406,optimizer_step,25,26,-0.021449547613360462,0.259765625,2e-05,0.20590165782213263,23495,4.8633201122283936,260.26208686828613,597673,698657
1789696489.430769,optimizer_step,26,27,-0.021151765800641684,0.33984375,2e-05,0.17065752340600895,22979,4.872927665710449,269.53301548957825,620718,725382
1789696498.8797045,optimizer_step,27,28,-0.02050600491177333,0.298828125,2e-05,0.1899458487562986,25435,4.926373720169067,278.98195934295654,646203,755283
1789696508.4572911,optimizer_step,28,29,-0.020547043763455754,0.28515625,2e-05,0.2139261084902218,25961,4.9850475788116455,288.5595381259918,672214,785734
1789696517.7639103,optimizer_step,29,30,-0.020936697040032023,0.3046875,2e-05,0.1758903856092543,23104,4.897250413894653,297.86616468429565,695377,812393
1789696535.644135,optimizer_step,30,31,-0.020503523220567758,0.31640625,2e-05,0.18748723065986517,25558,4.892607927322388,315.7463858127594,720992,842216
1789696545.9063182,optimizer_step,31,32,-0.01951108952693732,0.208984375,2e-05,0.14544151919866227,25323,4.942452907562256,326.00856828689575,746373,872005
1789696555.3089144,optimizer_step,32,33,-0.018406942003876242,0.2314453125,2e-05,0.16146883592493724,24467,4.880990028381348,335.41116666793823,770902,900910
1789696564.6479013,optimizer_step,33,34,-0.017651401124575066,0.263671875,2e-05,0.17121446851309974,23671,4.965045928955078,344.75014781951904,794626,928434
1789696574.199995,optimizer_step,34,35,-0.015971483988244387,0.2001953125,2e-05,0.18043893057511887,25054,5.028594493865967,354.30224347114563,819735,958271
1789696583.574724,optimizer_step,35,36,-0.0158390746653632,0.28515625,2e-05,0.18005181825396166,23671,4.960360527038574,363.6769788265228,843466,985898
1789696593.0474794,optimizer_step,36,37,-0.014719368344689643,0.2119140625,2e-05,0.19159869388141462,24408,4.997229814529419,373.1497251987457,867928,1014864
1789696602.651103,optimizer_step,37,38,-0.015136225272088393,0.234375,2e-05,0.19234149881080725,26374,4.982128858566284,382.75335597991943,894359,1045687
1789696612.1214375,optimizer_step,38,39,-0.014185801442965234,0.240234375,2e-05,0.1610159204734279,24589,4.93869948387146,392.22368931770325,919009,1074521
1789696621.4706016,optimizer_step,39,40,-0.015044168869818127,0.310546875,2e-05,0.19806068734060214,23984,4.89929723739624,401.57285261154175,943049,1102457
1789696639.8827908,optimizer_step,40,41,-0.014032237306492445,0.26171875,2e-05,0.1457302589918691,21801,4.702885150909424,419.98503947257996,964913,1128185
1789696649.5746262,optimizer_step,41,42,-0.013845936402364352,0.2314453125,2e-05,0.15093784570564464,27615,4.975815057754517,429.67687726020813,992577,1160801
1789696659.0350559,optimizer_step,42,43,-0.012751900691254692,0.28515625,2e-05,0.16687675608690256,24968,4.925987482070923,439.1373014450073,1017606,1190358
1789696668.3558164,optimizer_step,43,44,-0.016286379866472744,0.259765625,2e-05,0.22457245677286464,22962,4.953608512878418,448.4580719470978,1040631,1217175
1789696677.8368015,optimizer_step,44,45,-0.015292818559536379,0.2421875,2e-05,0.21922459176818332,24753,4.988315582275391,457.93905234336853,1065443,1246187
1789696687.4280806,optimizer_step,45,46,-0.014174085727278367,0.2197265625,2e-05,0.16155138574408134,25589,5.003837823867798,467.53033232688904,1091090,1276226
1789696696.794867,optimizer_step,46,47,-0.01502695210484771,0.291015625,2e-05,0.16239512411354512,23673,4.8821070194244385,476.8971219062805,1114822,1303654
1789696706.1938,optimizer_step,47,48,-0.014896797742059755,0.271484375,2e-05,0.18121072487809825,24188,4.946321964263916,486.29605078697205,1139065,1333065
1789696715.624698,optimizer_step,48,49,-0.014042643557071306,0.1611328125,2e-05,0.15765321416007666,24540,4.926384687423706,495.7269513607025,1163665,1361825
1789696725.1250737,optimizer_step,49,50,-0.013097236030477973,0.1943359375,2e-05,0.18224992231257453,25251,4.929819345474243,505.22732305526733,1188974,1391718
1789696745.7858236,optimizer_step,50,51,-0.011347660513667873,0.12255859375,2e-05,0.15376491213749788,22289,4.91183066368103,525.8880722522736,1211324,1417996
1789696755.456938,optimizer_step,51,52,-0.01334315962880598,0.3046875,2e-05,0.1925694753937142,26341,4.9830803871154785,535.5591883659363,1237713,1449593
1789696764.9761515,optimizer_step,52,53,-0.012741863480537328,0.2734375,2e-05,0.17230741878826358,24429,5.027045488357544,545.0784056186676,1262200,1478776
1789696774.2848399,optimizer_step,53,54,-0.01155047517414947,0.166015625,2e-05,0.15821972264634246,21882,4.955820322036743,554.3870904445648,1284147,1504859
1789696783.9281182,optimizer_step,54,55,-0.010971517876208144,0.28125,2e-05,0.15369635511415633,26101,4.93998384475708,564.0303704738617,1310305,1536145
1789696793.3409023,optimizer_step,55,56,-0.010937372347921345,0.2119140625,2e-05,0.15381034325444515,23953,4.934851884841919,573.4431571960449,1334317,1564357
1789696802.495459,optimizer_step,56,57,-0.010771871745698573,0.296875,2e-05,0.18842540995279947,24000,4.649503946304321,582.5977087020874,1358372,1592572
