timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty_selected_seen_ratio,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after
1789696224.1362698,rollout,0,1,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,3664,25591,342.609375,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,25591,difficulty,True,8,8,0,0,21927,25591,0,0,8,8,0,0,0,True,0,0.0,,,,8,0.703125,1.0
1789696234.0459774,rollout,1,2,0.6078125238418579,0.529241681098938,1.100000023841858,0.0,0.6078125238418579,0.529241681098938,0.12732422351837158,5.21540641784668e-08,0.8819125890731812,0.125,0.875,0.875,0.765625,0.53125,0.25,0.125,0.125,0.75,24715,3856,28571,386.171875,0.6078125238418579,0.529241681098938,1.100000023841858,0.0,0.6078125238418579,0.529241681098938,0.12732422351837158,5.21540641784668e-08,0.8819125890731812,0.125,0.875,0.875,0.765625,0.53125,0.25,0.125,0.125,0.75,46642,54162,difficulty,True,8,8,0,0,24715,28571,0,0,16,16,0,0,0,True,8,0.0,,,0.703125,16,0.53125,1.0
1789696243.1592968,rollout,2,3,0.7906250357627869,0.4806472957134247,1.100000023841858,0.0,0.7906250357627869,0.4806472957134247,0.0979297012090683,5.960464477539063e-08,0.7453504800796509,0.375,0.625,0.625,0.875,0.703125,0.5,0.375,0.125,0.5,20535,3192,23727,320.859375,0.7906250357627869,0.4806472957134247,1.100000023841858,0.0,0.7906250357627869,0.4806472957134247,0.0979297012090683,5.960464477539063e-08,0.7453504800796509,0.375,0.625,0.625,0.875,0.703125,0.5,0.375,0.125,0.5,67177,77889,difficulty,True,8,8,0,0,20535,23727,0,0,24,24,0,0,0,True,16,0.0,,,0.6171875,24,0.703125,1.0
1789696252.3796966,rollout,3,4,0.7124999761581421,0.5050538182258606,1.100000023841858,0.0,0.7124999761581421,0.5050538182258606,0.07949219644069672,-0.0009312853217124939,0.6666669845581055,0.5,0.5,0.5,0.875,0.625,0.625,0.375,0.25,0.375,23665,3616,27281,369.765625,0.7124999761581421,0.5050538182258606,1.100000023841858,0.0,0.7124999761581421,0.5050538182258606,0.07949219644069672,-0.0009312853217124939,0.6666669845581055,0.5,0.5,0.5,0.875,0.625,0.625,0.375,0.25,0.375,90842,105170,difficulty,True,8,8,0,0,23665,27281,0,0,32,32,0,0,0,True,24,0.0,,,0.6458333333333334,32,0.625,1.0
1789696261.7333198,rollout,4,5,0.7124999761581421,0.5050538182258606,1.100000023841858,0.0,0.7124999761581421,0.5050538182258606,0.18187502026557922,5.21540641784668e-08,0.8164950013160706,0.25,0.75,0.75,0.875,0.625,0.25,0.25,0.0,0.75,22803,4080,26883,356.296875,0.7124999761581421,0.5050538182258606,1.100000023841858,0.0,0.7124999761581421,0.5050538182258606,0.18187502026557922,5.21540641784668e-08,0.8164950013160706,0.25,0.75,0.75,0.875,0.625,0.25,0.25,0.0,0.75,113645,132053,difficulty,True,8,8,0,0,22803,26883,0,0,40,40,0,0,0,True,32,0.0,,,0.640625,40,0.625,1.0
1789696270.9998217,rollout,5,6,0.8890625238418579,0.42168113589286804,1.100000023841858,0.0,0.8890625238418579,0.42168113589286804,0.13306641578674316,8.568167686462402e-08,0.8164946436882019,0.25,0.75,0.75,0.921875,0.796875,0.25,0.25,0.0,0.75,21987,3808,25795,343.546875,0.8890625238418579,0.42168113589286804,1.100000023841858,0.0,0.8890625238418579,0.42168113589286804,0.13306641578674316,8.568167686462402e-08,0.8164946436882019,0.25,0.75,0.75,0.921875,0.796875,0.25,0.25,0.0,0.75,135632,157848,difficulty,True,8,8,0,0,21987,25795,0,0,48,48,0,0,0,True,40,0.0,,,0.6375,48,0.796875,1.0
1789696280.0763144,rollout,6,7,0.8906249403953552,0.418507844209671,1.100000023841858,0.0,0.8906249403953552,0.418507844209671,0.11144532263278961,5.029141902923584e-08,0.7453542351722717,0.375,0.625,0.625,0.9375,0.796875,0.375,0.375,0.0,0.625,21067,3192,24259,329.171875,0.8906249403953552,0.418507844209671,1.100000023841858,0.0,0.8906249403953552,0.418507844209671,0.11144532263278961,5.029141902923584e-08,0.7453542351722717,0.375,0.625,0.625,0.9375,0.796875,0.375,0.375,0.0,0.625,156699,182107,difficulty,True,8,8,0,0,21067,24259,0,0,56,56,0,0,0,True,48,0.0,,,0.6640625,56,0.796875,1.0
1789696289.1462517,rollout,7,8,0.8546874523162842,0.4475434720516205,1.100000023841858,0.0,0.8546874523162842,0.4475434720516205,0.07669921964406967,3.5390257835388184e-08,0.666662335395813,0.5,0.5,0.5,0.890625,0.765625,0.625,0.5,0.125,0.375,21936,3104,25040,342.75,0.8546874523162842,0.4475434720516205,1.100000023841858,0.0,0.8546874523162842,0.4475434720516205,0.07669921964406967,3.5390257835388184e-08,0.666662335395813,0.5,0.5,0.5,0.890625,0.765625,0.625,0.5,0.125,0.375,178635,207147,difficulty,True,8,8,0,0,21936,25040,0,0,64,64,0,0,0,True,56,0.0,,,0.6830357142857143,64,0.765625,1.0
1789696298.2499244,rollout,8,9,1.0515624284744263,0.2203836441040039,1.100000023841858,0.0,1.0515624284744263,0.2203836441040039,0.03998047113418579,2.7939677238464355e-08,0.4714033603668213,0.75,0.25,0.25,0.984375,0.953125,0.75,0.75,0.0,0.25,21457,3760,25217,335.265625,1.0515624284744263,0.2203836441040039,1.100000023841858,0.0,1.0515624284744263,0.2203836441040039,0.03998047113418579,2.7939677238464355e-08,0.4714033603668213,0.75,0.25,0.25,0.984375,0.953125,0.75,0.75,0.0,0.25,200092,232364,difficulty,True,8,8,0,0,21457,25217,0,0,72,72,0,0,0,True,64,0.0,,,0.693359375,72,0.953125,1.0
1789696307.6992161,rollout,9,10,0.8156249523162842,0.4585064649581909,1.100000023841858,0.0,0.8156249523162842,0.4585064649581909,0.09320312738418579,-0.0009312909096479416,0.5773544907569885,0.625,0.375,0.375,0.96875,0.71875,0.625,0.5,0.125,0.375,20868,3480,24348,326.0625,0.8156249523162842,0.4585064649581909,1.100000023841858,0.0,0.8156249523162842,0.4585064649581909,0.09320312738418579,-0.0009312909096479416,0.5773544907569885,0.625,0.375,0.375,0.96875,0.71875,0.625,0.5,0.125,0.375,220960,256712,difficulty,True,8,8,0,0,20868,24348,0,0,80,80,0,0,0,True,72,0.0,,,0.7222222222222222,80,0.71875,1.0
