timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty_selected_seen_ratio,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after
1789706223.3866112,rollout,0,1,0.629687488079071,0.5218038558959961,1.100000023841858,0.0,0.629687488079071,0.5218038558959961,0.13193359971046448,4.470348358154297e-08,0.8164946436882019,0.25,0.75,0.75,0.828125,0.546875,0.25,0.25,0.0,0.75,24479,4368,28847,382.484375,0.629687488079071,0.5218038558959961,1.100000023841858,0.0,0.629687488079071,0.5218038558959961,0.13193359971046448,4.470348358154297e-08,0.8164946436882019,0.25,0.75,0.75,0.828125,0.546875,0.25,0.25,0.0,0.75,24479,28847,difficulty,True,8,8,0,0,24479,28847,0,0,8,8,0,0,0,True,0,0.0,,,,8,0.546875,1.0
1789706233.4267683,rollout,1,2,0.574999988079071,0.5303487777709961,1.100000023841858,0.0,0.574999988079071,0.5303487777709961,0.11121094971895218,4.470348358154297e-08,0.7453519105911255,0.375,0.625,0.625,0.75,0.5,0.5,0.25,0.25,0.5,24441,4624,29065,381.890625,0.574999988079071,0.5303487777709961,1.100000023841858,0.0,0.574999988079071,0.5303487777709961,0.11121094971895218,4.470348358154297e-08,0.7453519105911255,0.375,0.625,0.625,0.75,0.5,0.5,0.25,0.25,0.5,48920,57912,difficulty,True,8,8,0,0,24441,29065,0,0,16,16,0,0,0,True,8,0.0,,,0.546875,16,0.5,1.0
1789706242.8007672,rollout,2,3,0.7953124642372131,0.4732292592525482,1.100000023841858,0.0,0.7953124642372131,0.4732292592525482,0.06775391101837158,4.470348358154297e-08,0.7453515529632568,0.375,0.625,0.625,0.921875,0.703125,0.5,0.375,0.125,0.5,24103,3376,27479,376.609375,0.7953124642372131,0.4732292592525482,1.100000023841858,0.0,0.7953124642372131,0.4732292592525482,0.06775391101837158,4.470348358154297e-08,0.7453515529632568,0.375,0.625,0.625,0.921875,0.703125,0.5,0.375,0.125,0.5,73023,85391,difficulty,True,8,8,0,0,24103,27479,0,0,24,24,0,0,0,True,16,0.0,,,0.5234375,24,0.703125,1.0
1789706252.1029956,rollout,3,4,0.785937488079071,0.4879068434238434,1.100000023841858,0.0,0.785937488079071,0.4879068434238434,0.06162109598517418,1.862645149230957e-08,0.6666618585586548,0.5,0.5,0.5,0.828125,0.703125,0.625,0.5,0.125,0.375,22021,4672,26693,344.078125,0.785937488079071,0.4879068434238434,1.100000023841858,0.0,0.785937488079071,0.4879068434238434,0.06162109598517418,1.862645149230957e-08,0.6666618585586548,0.5,0.5,0.5,0.828125,0.703125,0.625,0.5,0.125,0.375,95044,112084,difficulty,True,8,8,0,0,22021,26693,0,0,32,32,0,0,0,True,24,0.0,,,0.5833333333333334,32,0.703125,1.0
1789706261.5578308,rollout,4,5,0.7406250834465027,0.5013375282287598,1.100000023841858,0.0,0.7406250834465027,0.5013375282287598,0.09757813066244125,3.3527612686157227e-08,0.7453514933586121,0.375,0.625,0.625,0.84375,0.65625,0.5,0.375,0.125,0.5,20218,3264,23482,315.90625,0.7406250834465027,0.5013375282287598,1.100000023841858,0.0,0.7406250834465027,0.5013375282287598,0.09757813066244125,3.3527612686157227e-08,0.7453514933586121,0.375,0.625,0.625,0.84375,0.65625,0.5,0.375,0.125,0.5,115262,135566,difficulty,True,8,8,0,0,20218,23482,0,0,40,40,0,0,0,True,32,0.0,,,0.61328125,40,0.65625,1.0
1789706270.8782392,rollout,5,6,0.5953125357627869,0.525969922542572,1.100000023841858,0.0,0.5953125357627869,0.525969922542572,0.12634766101837158,4.0978193283081055e-08,0.8164912462234497,0.25,0.75,0.75,0.796875,0.515625,0.375,0.25,0.125,0.625,24100,4472,28572,376.5625,0.5953125357627869,0.525969922542572,1.100000023841858,0.0,0.5953125357627869,0.525969922542572,0.12634766101837158,4.0978193283081055e-08,0.8164912462234497,0.25,0.75,0.75,0.796875,0.515625,0.375,0.25,0.125,0.625,139362,164138,difficulty,True,8,8,0,0,24100,28572,0,0,48,48,0,0,0,True,40,0.0,,,0.621875,48,0.515625,1.0
1789706280.2483234,rollout,6,7,0.6312500238418579,0.5200350880622864,1.100000023841858,0.0,0.6312500238418579,0.5200350880622864,0.18058595061302185,5.21540641784668e-08,0.8819151520729065,0.125,0.875,0.875,0.84375,0.546875,0.125,0.125,0.0,0.875,23301,3632,26933,364.078125,0.6312500238418579,0.5200350880622864,1.100000023841858,0.0,0.6312500238418579,0.5200350880622864,0.18058595061302185,5.21540641784668e-08,0.8819151520729065,0.125,0.875,0.875,0.84375,0.546875,0.125,0.125,0.0,0.875,162663,191071,difficulty,True,8,8,0,0,23301,26933,0,0,56,56,0,0,0,True,48,0.0,,,0.6041666666666666,56,0.546875,1.0
1789706289.4613764,rollout,7,8,1.0046874284744263,0.29890260100364685,1.100000023841858,0.0,1.0046874284744263,0.29890260100364685,0.07669922709465027,5.494803190231323e-08,0.6666650176048279,0.5,0.5,0.5,0.984375,0.90625,0.5,0.5,0.0,0.5,21085,3744,24829,329.453125,1.0046874284744263,0.29890260100364685,1.100000023841858,0.0,1.0046874284744263,0.29890260100364685,0.07669922709465027,5.494803190231323e-08,0.6666650176048279,0.5,0.5,0.5,0.984375,0.90625,0.5,0.5,0.0,0.5,183748,215900,difficulty,True,8,8,0,0,21085,24829,0,0,64,64,0,0,0,True,56,0.0,,,0.5959821428571429,64,0.90625,1.0
1789706298.999735,rollout,8,9,0.989062488079071,0.31928351521492004,1.100000023841858,0.0,0.989062488079071,0.31928351521492004,0.07005859911441803,4.0978193283081055e-08,0.5773489475250244,0.625,0.375,0.375,0.984375,0.890625,0.625,0.625,0.0,0.375,20565,3064,23629,321.328125,0.989062488079071,0.31928351521492004,1.100000023841858,0.0,0.989062488079071,0.31928351521492004,0.07005859911441803,4.0978193283081055e-08,0.5773489475250244,0.625,0.375,0.375,0.984375,0.890625,0.625,0.625,0.0,0.375,204313,239529,difficulty,True,8,8,0,0,20565,23629,0,0,72,72,0,0,0,True,64,0.0,,,0.634765625,72,0.890625,1.0
1789706308.1648564,rollout,9,10,0.8890625238418579,0.42168113589286804,1.100000023841858,0.0,0.8890625238418579,0.42168113589286804,0.11333984136581421,7.450580596923828e-08,0.7453542947769165,0.375,0.625,0.625,0.921875,0.796875,0.375,0.375,0.0,0.625,23095,3920,27015,360.859375,0.8890625238418579,0.42168113589286804,1.100000023841858,0.0,0.8890625238418579,0.42168113589286804,0.11333984136581421,7.450580596923828e-08,0.7453542947769165,0.375,0.625,0.625,0.921875,0.796875,0.375,0.375,0.0,0.625,227408,266544,difficulty,True,8,8,0,0,23095,27015,0,0,80,80,0,0,0,True,72,0.0,,,0.6631944444444444,80,0.796875,1.0
