timestamp,event,model_step,eval/accuracy,eval/pass_at_1,eval/correct,eval/wrong_answer,eval/wrong_format,eval/count,eval/generated_response_tokens,eval/prompt_tokens,eval/total_rollout_tokens,eval/average_response_length,cumulative_rollout_tokens
1789711193.9638004,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
1789711295.8946106,evaluation,10,0.62109375,0.62109375,159,50,47,256,84016,15581,99597,328.1875,258486
1789711399.1083696,evaluation,20,0.64453125,0.64453125,165,47,44,256,83739,15581,99320,327.10546875,529220
1789711502.3218098,evaluation,30,0.6640625,0.6640625,170,43,43,256,83790,15581,99371,327.3046875,798970
1789711607.900323,evaluation,40,0.6484375,0.6484375,166,42,48,256,83228,15581,98809,325.109375,1071117
1789711713.3111286,evaluation,50,0.66796875,0.66796875,171,40,45,256,82794,15581,98375,323.4140625,1344411
1789711818.2366729,evaluation,60,0.66796875,0.66796875,171,38,47,256,83345,15581,98926,325.56640625,1611362
1789711923.078866,evaluation,70,0.69921875,0.69921875,179,35,42,256,84101,15581,99682,328.51953125,1885809
1789712028.5372322,evaluation,80,0.71484375,0.71484375,183,33,40,256,82960,15581,98541,324.0625,2166106
1789712133.297242,evaluation,90,0.72265625,0.72265625,185,35,36,256,82442,15581,98023,322.0390625,2439782
1789712237.2221282,evaluation,100,0.71875,0.71875,184,36,36,256,82214,15581,97795,321.1484375,2724706
1789712341.2442863,evaluation,110,0.734375,0.734375,188,34,34,256,82052,15581,97633,320.515625,2992956
1789712446.112763,evaluation,120,0.73046875,0.73046875,187,32,37,256,82064,15581,97645,320.5625,3266832
1789712548.669419,evaluation,130,0.74609375,0.74609375,191,32,33,256,82001,15581,97582,320.31640625,3537336
1789712654.393027,evaluation,140,0.77734375,0.77734375,199,32,25,256,81771,15581,97352,319.41796875,3813878
1789712773.7778015,evaluation,147,0.8013646702047005,0.8013646702047005,1057,155,107,1319,430445,80865,511310,326.34192570128886,4001083
