timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty/observed_prompt_ratio_before,difficulty_selected_seen_ratio,difficulty_selected_unseen_ratio,difficulty_selected_sample_count_mean_before,difficulty_selected_coverage_score_mean,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_observed_prompt_ratio_after,difficulty_selected_group_accuracy_mean,difficulty_selected_sample_count_mean_after
1789711198.2243984,rollout,0,1,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,3664,25591,342.609375,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,25591,difficulty,True,8,8,0,0,21927,25591,0,0,8,8,0,0,0,True,0,0.0,0.0,1.0,0.0,1.0,,,,8,0.001070520540612873,0.703125,1.0
1789711207.9836283,rollout,1,2,0.5562500357627869,0.5324024558067322,1.100000023841858,0.0,0.5562500357627869,0.5324024558067322,0.16035157442092896,5.960464477539063e-08,0.8819131255149841,0.125,0.875,0.875,0.71875,0.484375,0.25,0.0,0.25,0.75,24891,3856,28747,388.921875,0.5562500357627869,0.5324024558067322,1.100000023841858,0.0,0.5562500357627869,0.5324024558067322,0.16035157442092896,5.960464477539063e-08,0.8819131255149841,0.125,0.875,0.875,0.71875,0.484375,0.25,0.0,0.25,0.75,46818,54338,difficulty,True,8,8,0,0,24891,28747,0,0,16,16,0,0,0,True,8,0.001070520540612873,0.0,1.0,0.0,1.0,,,0.703125,16,0.002141041081225746,0.484375,1.0
1789711217.1826487,rollout,2,3,0.7578125,0.49435052275657654,1.100000023841858,0.0,0.7578125,0.49435052275657654,0.13462892174720764,2.60770320892334e-08,0.745354413986206,0.375,0.625,0.625,0.859375,0.671875,0.375,0.375,0.0,0.625,20528,3192,23720,320.75,0.7578125,0.49435052275657654,1.100000023841858,0.0,0.7578125,0.49435052275657654,0.13462892174720764,2.60770320892334e-08,0.745354413986206,0.375,0.625,0.625,0.859375,0.671875,0.375,0.375,0.0,0.625,67346,78058,difficulty,True,8,8,0,0,20528,23720,0,0,24,24,0,0,0,True,16,0.002141041081225746,0.0,1.0,0.0,1.0,,,0.59375,24,0.003211561621838619,0.671875,1.0
1789711226.635653,rollout,3,4,0.6625000238418579,0.5171656608581543,1.100000023841858,0.0,0.6625000238418579,0.5171656608581543,0.07457031309604645,-0.0009313095360994339,0.666667103767395,0.5,0.5,0.5,0.84375,0.578125,0.625,0.375,0.25,0.375,23840,3616,27456,372.5,0.6625000238418579,0.5171656608581543,1.100000023841858,0.0,0.6625000238418579,0.5171656608581543,0.07457031309604645,-0.0009313095360994339,0.666667103767395,0.5,0.5,0.5,0.84375,0.578125,0.625,0.375,0.25,0.375,91186,105514,difficulty,True,8,8,0,0,23840,27456,0,0,32,32,0,0,0,True,24,0.003211561621838619,0.0,1.0,0.0,1.0,,,0.6197916666666666,32,0.004282082162451492,0.578125,1.0
1789711236.0043764,rollout,4,5,0.660937488079071,0.5190398097038269,1.100000023841858,0.0,0.660937488079071,0.5190398097038269,0.1999804824590683,2.9802322387695312e-08,0.8819153308868408,0.125,0.875,0.875,0.828125,0.578125,0.125,0.125,0.0,0.875,22298,4080,26378,348.40625,0.660937488079071,0.5190398097038269,1.100000023841858,0.0,0.660937488079071,0.5190398097038269,0.1999804824590683,2.9802322387695312e-08,0.8819153308868408,0.125,0.875,0.875,0.828125,0.578125,0.125,0.125,0.0,0.875,113484,131892,difficulty,True,8,8,0,0,22298,26378,0,0,40,40,0,0,0,True,32,0.004282082162451492,0.0,1.0,0.0,1.0,,,0.609375,40,0.005352602703064365,0.578125,1.0
1789711245.3379247,rollout,5,6,0.807812511920929,0.47150710225105286,1.100000023841858,0.0,0.807812511920929,0.47150710225105286,0.1618945300579071,9.499490261077881e-08,0.8819150924682617,0.125,0.875,0.875,0.890625,0.71875,0.125,0.125,0.0,0.875,21493,3808,25301,335.828125,0.807812511920929,0.47150710225105286,1.100000023841858,0.0,0.807812511920929,0.47150710225105286,0.1618945300579071,9.499490261077881e-08,0.8819150924682617,0.125,0.875,0.875,0.890625,0.71875,0.125,0.125,0.0,0.875,134977,157193,difficulty,True,8,8,0,0,21493,25301,0,0,48,48,0,0,0,True,40,0.005352602703064365,0.0,1.0,0.0,1.0,,,0.603125,48,0.006423123243677238,0.71875,1.0
1789711254.4916165,rollout,6,7,0.887499988079071,0.42482489347457886,1.100000023841858,0.0,0.887499988079071,0.42482489347457886,0.11433594673871994,3.725290298461914e-08,0.7453542351722717,0.375,0.625,0.625,0.90625,0.796875,0.375,0.375,0.0,0.625,21413,3192,24605,334.578125,0.887499988079071,0.42482489347457886,1.100000023841858,0.0,0.887499988079071,0.42482489347457886,0.11433594673871994,3.725290298461914e-08,0.7453542351722717,0.375,0.625,0.625,0.90625,0.796875,0.375,0.375,0.0,0.625,156390,181798,difficulty,True,8,8,0,0,21413,24605,0,0,56,56,0,0,0,True,48,0.006423123243677238,0.0,1.0,0.0,1.0,,,0.6223958333333334,56,0.007493643784290111,0.796875,1.0
1789711263.6755493,rollout,7,8,0.8343749642372131,0.46435439586639404,1.100000023841858,0.0,0.8343749642372131,0.46435439586639404,0.06683593988418579,-1.862645149230957e-09,0.5773458480834961,0.625,0.375,0.375,0.84375,0.75,0.75,0.625,0.125,0.25,22586,3104,25690,352.90625,0.8343749642372131,0.46435439586639404,1.100000023841858,0.0,0.8343749642372131,0.46435439586639404,0.06683593988418579,-1.862645149230957e-09,0.5773458480834961,0.625,0.375,0.375,0.84375,0.75,0.75,0.625,0.125,0.25,178976,207488,difficulty,True,8,8,0,0,22586,25690,0,0,64,64,0,0,0,True,56,0.007493643784290111,0.0,1.0,0.0,1.0,,,0.6473214285714286,64,0.008564164324902984,0.75,1.0
1789711273.334162,rollout,8,9,0.9671875238418579,0.3545866012573242,1.100000023841858,0.0,0.9671875238418579,0.3545866012573242,0.09279297292232513,1.6763806343078613e-08,0.5773491263389587,0.625,0.375,0.375,0.921875,0.875,0.625,0.625,0.0,0.375,22330,3760,26090,348.90625,0.9671875238418579,0.3545866012573242,1.100000023841858,0.0,0.9671875238418579,0.3545866012573242,0.09279297292232513,1.6763806343078613e-08,0.5773491263389587,0.625,0.375,0.375,0.921875,0.875,0.625,0.625,0.0,0.375,201306,233578,difficulty,True,8,8,0,0,22330,26090,0,0,72,72,0,0,0,True,64,0.008564164324902984,0.0,1.0,0.0,1.0,,,0.66015625,72,0.009634684865515858,0.875,1.0
1789711282.5374722,rollout,9,10,0.75,0.48795005679130554,1.100000023841858,0.0,0.75,0.48795005679130554,0.10238281637430191,-0.0009312815964221954,0.6666698455810547,0.5,0.5,0.5,0.9375,0.65625,0.5,0.375,0.125,0.5,21428,3480,24908,334.8125,0.75,0.48795005679130554,1.100000023841858,0.0,0.75,0.48795005679130554,0.10238281637430191,-0.0009312815964221954,0.6666698455810547,0.5,0.5,0.5,0.9375,0.65625,0.5,0.375,0.125,0.5,222734,258486,difficulty,True,8,8,0,0,21428,24908,0,0,80,80,0,0,0,True,72,0.009634684865515858,0.0,1.0,0.0,1.0,,,0.6840277777777778,80,0.01070520540612873,0.65625,1.0
