timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens,difficulty_warmup_active,difficulty_observed_prompts_before,difficulty/observed_prompt_ratio_before,difficulty_selected_seen_ratio,difficulty_selected_unseen_ratio,difficulty_selected_sample_count_mean_before,difficulty_selected_coverage_score_mean,difficulty_selected_ema_accuracy_mean,difficulty_selected_boundary_score_mean,difficulty_global_seen_ema_accuracy_mean,difficulty_observed_prompts_after,difficulty_observed_prompt_ratio_after,difficulty_selected_group_accuracy_mean,difficulty_selected_seen_group_accuracy_mean,difficulty_selected_seen_effective_group_ratio,difficulty_selected_sample_count_mean_after
1789713986.5988054,rollout,0,1,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,3664,25591,342.609375,0.7906249761581421,0.4806472957134247,1.100000023841858,0.0,0.7906249761581421,0.4806472957134247,0.12671875953674316,5.587935447692871e-08,0.8164924383163452,0.25,0.75,0.75,0.875,0.703125,0.375,0.25,0.125,0.625,21927,25591,difficulty,True,8,8,0,0,21927,25591,0,0,8,8,0,0,0,True,0,0.0,0.0,1.0,0.0,1.0,,,,8,0.001070520540612873,0.703125,,,1.0
1789713996.5372338,rollout,1,2,0.614062488079071,0.5224688649177551,1.100000023841858,0.0,0.614062488079071,0.5224688649177551,0.13658204674720764,6.705522537231445e-08,0.8819109201431274,0.125,0.875,0.875,0.828125,0.53125,0.375,0.125,0.25,0.625,24055,3856,27911,375.859375,0.614062488079071,0.5224688649177551,1.100000023841858,0.0,0.614062488079071,0.5224688649177551,0.13658204674720764,6.705522537231445e-08,0.8819109201431274,0.125,0.875,0.875,0.828125,0.53125,0.375,0.125,0.25,0.625,45982,53502,difficulty,True,8,8,0,0,24055,27911,0,0,16,16,0,0,0,True,8,0.001070520540612873,0.0,1.0,0.0,1.0,,,0.703125,16,0.002141041081225746,0.53125,,,1.0
1789714005.7541225,rollout,2,3,0.823437511920929,0.4641914665699005,1.100000023841858,0.0,0.823437511920929,0.4641914665699005,0.08357422053813934,2.60770320892334e-08,0.6666650772094727,0.5,0.5,0.5,0.890625,0.734375,0.5,0.5,0.0,0.5,20674,3192,23866,323.03125,0.823437511920929,0.4641914665699005,1.100000023841858,0.0,0.823437511920929,0.4641914665699005,0.08357422053813934,2.60770320892334e-08,0.6666650772094727,0.5,0.5,0.5,0.890625,0.734375,0.5,0.5,0.0,0.5,66656,77368,difficulty,True,8,8,0,0,20674,23866,0,0,24,24,0,0,0,True,16,0.002141041081225746,0.0,1.0,0.0,1.0,,,0.6171875,24,0.003211561621838619,0.734375,,,1.0
1789714015.1244433,rollout,3,4,0.6921875476837158,0.5143356919288635,1.100000023841858,0.0,0.6921875476837158,0.5143356919288635,0.0795898512005806,-0.0009312815964221954,0.6666666269302368,0.5,0.5,0.5,0.828125,0.609375,0.625,0.375,0.25,0.375,24462,3616,28078,382.21875,0.6921875476837158,0.5143356919288635,1.100000023841858,0.0,0.6921875476837158,0.5143356919288635,0.0795898512005806,-0.0009312815964221954,0.6666666269302368,0.5,0.5,0.5,0.828125,0.609375,0.625,0.375,0.25,0.375,91118,105446,difficulty,True,8,8,0,0,24462,28078,0,0,32,32,0,0,0,True,24,0.003211561621838619,0.0,1.0,0.0,1.0,,,0.65625,32,0.004282082162451492,0.609375,,,1.0
1789714024.3324587,rollout,4,5,0.729687511920929,0.4991038739681244,1.100000023841858,0.0,0.729687511920929,0.4991038739681244,0.12806640565395355,7.450580596923828e-09,0.7453506588935852,0.375,0.625,0.625,0.890625,0.640625,0.5,0.375,0.125,0.5,22158,4080,26238,346.21875,0.729687511920929,0.4991038739681244,1.100000023841858,0.0,0.729687511920929,0.4991038739681244,0.12806640565395355,7.450580596923828e-09,0.7453506588935852,0.375,0.625,0.625,0.890625,0.640625,0.5,0.375,0.125,0.5,113276,131684,difficulty,True,8,8,0,0,22158,26238,0,0,40,40,0,0,0,True,32,0.004282082162451492,0.0,1.0,0.0,1.0,,,0.64453125,40,0.005352602703064365,0.640625,,,1.0
1789714033.6081574,rollout,5,6,0.8578125238418579,0.44178739190101624,1.100000023841858,0.0,0.8578125238418579,0.44178739190101624,0.15845704078674316,6.05359673500061e-08,0.816494882106781,0.25,0.75,0.75,0.921875,0.765625,0.25,0.25,0.0,0.75,22345,3808,26153,349.140625,0.8578125238418579,0.44178739190101624,1.100000023841858,0.0,0.8578125238418579,0.44178739190101624,0.15845704078674316,6.05359673500061e-08,0.816494882106781,0.25,0.75,0.75,0.921875,0.765625,0.25,0.25,0.0,0.75,135621,157837,difficulty,True,8,8,0,0,22345,26153,0,0,48,48,0,0,0,True,40,0.005352602703064365,0.0,1.0,0.0,1.0,,,0.64375,48,0.006423123243677238,0.765625,,,1.0
1789714042.715734,rollout,6,7,0.856249988079071,0.44467753171920776,1.100000023841858,0.0,0.856249988079071,0.44467753171920776,0.11511719226837158,2.421438694000244e-08,0.7453542351722717,0.375,0.625,0.625,0.90625,0.765625,0.375,0.375,0.0,0.625,21581,3192,24773,337.203125,0.856249988079071,0.44467753171920776,1.100000023841858,0.0,0.856249988079071,0.44467753171920776,0.11511719226837158,2.421438694000244e-08,0.7453542351722717,0.375,0.625,0.625,0.90625,0.765625,0.375,0.375,0.0,0.625,157202,182610,difficulty,True,8,8,0,0,21581,24773,0,0,56,56,0,0,0,True,48,0.006423123243677238,0.0,1.0,0.0,1.0,,,0.6640625,56,0.007493643784290111,0.765625,,,1.0
1789714051.8173258,rollout,7,8,0.817187488079071,0.4746108651161194,1.100000023841858,0.0,0.817187488079071,0.4746108651161194,0.08642578125,1.4901161193847656e-08,0.6666624546051025,0.5,0.5,0.5,0.828125,0.734375,0.625,0.5,0.125,0.375,22678,3104,25782,354.34375,0.817187488079071,0.4746108651161194,1.100000023841858,0.0,0.817187488079071,0.4746108651161194,0.08642578125,1.4901161193847656e-08,0.6666624546051025,0.5,0.5,0.5,0.828125,0.734375,0.625,0.5,0.125,0.375,179880,208392,difficulty,True,8,8,0,0,22678,25782,0,0,64,64,0,0,0,True,56,0.007493643784290111,0.0,1.0,0.0,1.0,,,0.6785714285714286,64,0.008564164324902984,0.734375,,,1.0
1789714060.9879358,rollout,8,9,0.965624988079071,0.358665406703949,1.100000023841858,0.0,0.965624988079071,0.358665406703949,0.09050781279802322,1.955777406692505e-08,0.5773491263389587,0.625,0.375,0.375,0.90625,0.875,0.625,0.625,0.0,0.375,22407,3760,26167,350.109375,0.965624988079071,0.358665406703949,1.100000023841858,0.0,0.965624988079071,0.358665406703949,0.09050781279802322,1.955777406692505e-08,0.5773491263389587,0.625,0.375,0.375,0.90625,0.875,0.625,0.625,0.0,0.375,202287,234559,difficulty,True,8,8,0,0,22407,26167,0,0,72,72,0,0,0,True,64,0.008564164324902984,0.0,1.0,0.0,1.0,,,0.685546875,72,0.009634684865515858,0.875,,,1.0
1789714070.5510101,rollout,9,10,0.8125,0.46376651525497437,1.100000023841858,0.0,0.8125,0.46376651525497437,0.08703125268220901,-0.0009313002228736877,0.5773544907569885,0.625,0.375,0.375,0.9375,0.71875,0.625,0.5,0.125,0.375,21247,3480,24727,331.984375,0.8125,0.46376651525497437,1.100000023841858,0.0,0.8125,0.46376651525497437,0.08703125268220901,-0.0009313002228736877,0.5773544907569885,0.625,0.375,0.375,0.9375,0.71875,0.625,0.5,0.125,0.375,223534,259286,difficulty,True,8,8,0,0,21247,24727,0,0,80,80,0,0,0,True,72,0.009634684865515858,0.0,1.0,0.0,1.0,,,0.7065972222222222,80,0.01070520540612873,0.71875,,,1.0
