timestamp,event,step,grpo_step,train/loss,train/grad_norm,train/learning_rate,train/policy_entropy,train/response_tokens_in_step,train/step_time,train/elapsed_time,rollout/cumulative_generated_response_tokens,rollout/cumulative_rollout_tokens
1789657645.3658264,optimizer_step,0,1,-0.02767030958784744,0.33984375,2e-05,0.2713315604172491,24703,5.3178017139434814,9.740111827850342,24751,30903
1789657659.9503758,optimizer_step,1,2,-0.03447613558168278,0.466796875,2e-05,0.2443959716810697,24287,5.071619987487793,24.324654817581177,59421,71893
1789657671.7793674,optimizer_step,2,3,-0.03608692113810126,0.333984375,2e-05,0.24085874673678395,24543,4.905984401702881,36.153642416000366,87307,103923
1789657686.5248442,optimizer_step,3,4,-0.037890916231170114,0.3984375,2e-05,0.32588758525167777,26819,4.972964525222778,50.89912986755371,123627,145179
1789657700.986743,optimizer_step,4,5,-0.04149993135601529,0.349609375,2e-05,0.3271917748540064,23082,4.97689151763916,65.36102652549744,154923,182035
1789657715.7320116,optimizer_step,5,6,-0.03523652133464917,0.349609375,2e-05,0.2426084337319842,25254,5.038666486740112,80.10629367828369,189961,222481
1789657728.2782757,optimizer_step,6,7,-0.03341339543748155,0.30859375,2e-05,0.22333190923825127,26055,4.937305688858032,92.65255808830261,220947,258971
1789657743.231828,optimizer_step,7,8,-0.03961529108942807,0.392578125,2e-05,0.3143706621312616,23492,5.104888677597046,107.6061053276062,257253,301901
1789657756.8898323,optimizer_step,8,9,-0.03831651370619158,0.412109375,2e-05,0.20105326326932002,22779,5.021475791931152,121.26411771774292,288079,337655
1789657770.836101,optimizer_step,9,10,-0.03639645165314207,0.341796875,2e-05,0.17601947250321703,23998,4.950329065322876,135.21037912368774,319222,373798
1789657794.3587584,optimizer_step,10,11,-0.03359982709886806,0.357421875,2e-05,0.21575286478573066,23954,4.949324369430542,158.73304152488708,359466,420930
1789657814.4526331,optimizer_step,11,12,-0.03583804676748492,0.421875,2e-05,0.18834127457091235,23916,4.935361862182617,178.82691478729248,400303,468991
1789657826.261442,optimizer_step,12,13,-0.034112009022578625,0.400390625,2e-05,0.20785905560433818,23933,5.0428595542907715,190.6357192993164,426772,499428
1789657835.679927,optimizer_step,13,14,-0.03393930944416386,0.3515625,2e-05,0.18296578551085674,25089,5.006246328353882,200.05421471595764,451909,528981
1789657854.5781481,optimizer_step,14,15,-0.030227498518094205,0.267578125,2e-05,0.19049571393006984,25046,5.019100189208984,218.95242285728455,495593,579897
1789657873.066197,optimizer_step,15,16,-0.027297493002979442,0.291015625,2e-05,0.16612213565778575,26233,5.023102283477783,237.44047713279724,544244,636108
1789657887.798709,optimizer_step,16,17,-0.026677369895712573,0.3203125,2e-05,0.19552435095884804,25199,5.016847610473633,252.1729941368103,578320,675440
1789657902.1568875,optimizer_step,17,18,-0.025873790800485935,0.322265625,2e-05,0.2666077455163211,27408,5.091238498687744,266.531165599823,614205,717861
1789657914.2873306,optimizer_step,18,19,-0.02309866531377082,0.322265625,2e-05,0.1850953515521462,23403,5.1684043407440186,278.6616122722626,644218,753154
1789657926.7218325,optimizer_step,19,20,-0.022993001785639497,0.3203125,2e-05,0.21610276240730622,24948,4.967629671096802,291.0961174964905,679342,793510
1789657955.6626909,optimizer_step,20,21,-0.020624783967209192,0.267578125,2e-05,0.18395450413502543,23802,5.027169466018677,320.036967754364,724438,846190
1789657977.5134335,optimizer_step,21,22,-0.020112736622668968,0.447265625,2e-05,0.21552807148763473,25607,5.026341438293457,341.887713432312,768087,896175
1789657997.4595914,optimizer_step,22,23,-0.018675929449791816,0.294921875,2e-05,0.22514264407006543,27976,5.002715587615967,361.8338694572449,812479,947383
1789658012.9864855,optimizer_step,23,24,-0.02121070073119833,0.3203125,2e-05,0.22507055825596237,25807,4.983669757843018,377.36075949668884,857474,999594
1789658028.585728,optimizer_step,24,25,-0.019552996599695886,0.287109375,2e-05,0.19082545758135847,26046,5.170704126358032,392.9600045681,899893,1048829
1789658043.1366708,optimizer_step,25,26,-0.018220007746545825,0.27734375,2e-05,0.17663267410343508,26216,4.969233751296997,407.5109508037567,932833,1087177
1789658064.187782,optimizer_step,26,27,-0.017765172644966847,0.32421875,2e-05,0.21578639696456176,25049,5.007653474807739,428.5620605945587,989066,1152242
1789658083.7052944,optimizer_step,27,28,-0.016203795380162367,0.31640625,2e-05,0.27879288469924113,26645,5.08667254447937,448.07958006858826,1042392,1214480
1789658098.8351042,optimizer_step,28,29,-0.016784866253639355,0.34375,2e-05,0.20785075061521355,23199,5.1872782707214355,463.20938205718994,1080713,1259641
1789658115.0898998,optimizer_step,29,30,-0.023296350140558635,0.51953125,2e-05,0.2614316830960174,24333,5.07813286781311,479.46418023109436,1125307,1310707
1789658141.1459873,optimizer_step,30,31,-0.022122001555938416,0.26953125,2e-05,0.1953037296607238,27968,5.426799535751343,505.5202567577362,1166703,1358287
1789658153.9785397,optimizer_step,31,32,-0.022861448040027488,0.326171875,2e-05,0.2553560229400476,25955,5.029860496520996,518.3528242111206,1203588,1401684
1789658174.7241814,optimizer_step,32,33,-0.022431664405311354,0.30859375,2e-05,0.19648846942853018,25043,5.02499532699585,539.0984666347504,1252133,1458077
1789658190.082223,optimizer_step,33,34,-0.024152639579415568,0.33203125,2e-05,0.22670635180673598,26881,5.119599342346191,554.4565019607544,1292991,1506255
1789658205.1371205,optimizer_step,34,35,-0.02260945328956618,0.283203125,2e-05,0.18068661636505617,26415,5.106329441070557,569.511397600174,1331321,1551057
1789658223.1943629,optimizer_step,35,36,-0.021208304825540415,0.294921875,2e-05,0.18929648408870736,25050,5.097030878067017,587.5686416625977,1379925,1608549
1789658245.102978,optimizer_step,36,37,-0.021066133670940297,0.263671875,2e-05,0.19098219025244495,27119,5.038809776306152,609.4772517681122,1426011,1661275
1789658267.3380322,optimizer_step,37,38,-0.035750424364502605,0.353515625,2e-05,0.2828942766739667,28016,5.013484716415405,631.7123057842255,1484261,1728685
1789658284.2861967,optimizer_step,38,39,-0.03363047777993787,0.28515625,2e-05,0.1635613882367513,24096,4.96586012840271,648.6604719161987,1530525,1782021
1789658305.1261897,optimizer_step,39,40,-0.031346596793012084,0.310546875,2e-05,0.1827068645351014,24106,5.116138219833374,669.5004615783691,1573936,1833800
1789658334.3848565,optimizer_step,40,41,-0.03078096489910989,0.36328125,2e-05,0.19058740404431862,24702,4.968738079071045,698.7591390609741,1621038,1887526
1789658362.6432765,optimizer_step,41,42,-0.028728580512959664,0.26171875,2e-05,0.20556256543288584,28625,5.039712429046631,727.0175545215607,1710174,1990198
1789658386.1834116,optimizer_step,42,43,-0.027712180382566756,0.419921875,2e-05,0.17444699449694795,25740,5.1000964641571045,750.5576810836792,1759785,2047761
