strategy,seed,target_accuracy,reached,rollout_tokens,model_step
vanilla,42,0.65,True,822210.0,30.0
vanilla,42,0.7,True,1600923.0,60.0
vanilla,42,0.75,True,2394308.0,90.0
vanilla,42,0.79,True,3972957.0,150.0
vanilla,43,0.65,True,820023.0,30.0
vanilla,43,0.7,True,1342266.0,50.0
vanilla,43,0.75,True,2380250.0,90.0
vanilla,43,0.79,False,,
vanilla,44,0.65,True,548185.0,20.0
vanilla,44,0.7,True,1087072.0,40.0
vanilla,44,0.75,True,1603458.0,60.0
vanilla,44,0.79,True,3462152.0,130.0
difficulty_beta05,42,0.65,True,527041.0,20.0
difficulty_beta05,42,0.7,True,1391718.0,50.0
difficulty_beta05,42,0.75,True,2267272.0,80.0
difficulty_beta05,42,0.79,True,3120415.0,110.0
difficulty_beta05,43,0.65,True,801619.0,30.0
difficulty_beta05,43,0.7,True,2190538.0,80.0
difficulty_beta05,43,0.75,False,,
difficulty_beta05,43,0.79,False,,
difficulty_beta05,44,0.65,True,534371.0,20.0
difficulty_beta05,44,0.7,True,812512.0,30.0
difficulty_beta05,44,0.75,True,1702918.0,60.0
difficulty_beta05,44,0.79,True,2896057.0,100.0
