strategy,timestamp,event,model_step,eval/accuracy,eval/pass_at_1,eval/correct,eval/wrong_answer,eval/wrong_format,eval/count,eval/generated_response_tokens,eval/prompt_tokens,eval/total_rollout_tokens,eval/average_response_length,cumulative_rollout_tokens
vanilla,1789653981.8419487,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
vanilla,1789654082.5915504,evaluation,10,0.60546875,0.60546875,155,46,55,256,83991,15581,99572,328.08984375,278280
vanilla,1789654182.582613,evaluation,20,0.640625,0.640625,164,42,50,256,84335,15581,99916,329.43359375,548521
vanilla,1789654282.58549,evaluation,30,0.671875,0.671875,172,39,45,256,84580,15581,100161,330.390625,822210
vanilla,1789654381.9184706,evaluation,40,0.6875,0.6875,176,39,41,256,85085,15581,100666,332.36328125,1084750
vanilla,1789654481.0559974,evaluation,50,0.6953125,0.6953125,178,39,39,256,84353,15581,99934,329.50390625,1347236
vanilla,1789654581.1946878,evaluation,60,0.7109375,0.7109375,182,37,37,256,84372,15581,99953,329.578125,1600923
vanilla,1789654680.1005657,evaluation,70,0.71484375,0.71484375,183,35,38,256,85629,15581,101210,334.48828125,1862719
vanilla,1789654781.1563032,evaluation,80,0.73828125,0.73828125,189,36,31,256,85709,15581,101290,334.80078125,2134923
vanilla,1789654881.2194812,evaluation,90,0.75,0.75,192,33,31,256,85248,15581,100829,333.0,2394308
vanilla,1789654980.4176826,evaluation,100,0.76171875,0.76171875,195,33,28,256,85041,15581,100622,332.19140625,2662559
vanilla,1789655083.0488777,evaluation,110,0.7421875,0.7421875,190,35,31,256,84680,15581,100261,330.78125,2929070
vanilla,1789655181.0830286,evaluation,120,0.76953125,0.76953125,197,35,24,256,85028,15581,100609,332.140625,3185331
vanilla,1789655281.6231277,evaluation,130,0.77734375,0.77734375,199,36,21,256,84478,15581,100059,329.9921875,3448803
vanilla,1789655381.489822,evaluation,140,0.765625,0.765625,196,37,23,256,84014,15581,99595,328.1796875,3720545
vanilla,1789655482.114355,evaluation,150,0.79296875,0.79296875,203,31,22,256,84667,15581,100248,330.73046875,3972957
vanilla,1789655556.6729105,evaluation,152,0.8180439727065959,0.8180439727065959,1079,156,84,1319,439610,80865,520475,333.2903714935557,4023667
dynamic,1789657635.6251235,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
dynamic,1789657779.646871,evaluation,10,0.6015625,0.6015625,154,49,53,256,83358,15581,98939,325.6171875,373798
dynamic,1789657935.8880985,evaluation,20,0.60546875,0.60546875,155,46,55,256,83466,15581,99047,326.0390625,793510
dynamic,1789658123.639714,evaluation,30,0.64453125,0.64453125,165,41,50,256,84785,15581,100366,331.19140625,1310707
dynamic,1789658314.919756,evaluation,40,0.65625,0.65625,168,40,48,256,84899,15581,100480,331.63671875,1833800
dynamic,1789658544.917397,evaluation,50,0.6796875,0.6796875,174,40,42,256,85199,15581,100780,332.80859375,2508156
dynamic,1789658744.8333948,evaluation,60,0.71484375,0.71484375,183,39,34,256,84849,15581,100430,331.44140625,3041139
dynamic,1789658990.8697422,evaluation,70,0.73046875,0.73046875,187,30,39,256,85740,15581,101321,334.921875,3730529
dynamic,1789659137.6078014,evaluation,74,0.78013646702047,0.78013646702047,1029,162,128,1319,454678,80865,535543,344.7141774071266,4009358
difficulty-aware,1789693416.4823337,evaluation,0,0.6171875,0.6171875,158,57,41,256,84246,15581,99827,329.0859375,0
difficulty-aware,1789693518.4815736,evaluation,10,0.62890625,0.62890625,161,49,46,256,84504,15581,100085,330.09375,258749
difficulty-aware,1789693621.2289574,evaluation,20,0.66015625,0.66015625,169,45,42,256,84538,15581,100119,330.2265625,522949
difficulty-aware,1789693725.262459,evaluation,30,0.6328125,0.6328125,162,46,48,256,85153,15581,100734,332.62890625,814619
difficulty-aware,1789693829.7389894,evaluation,40,0.65234375,0.65234375,167,41,48,256,84964,15581,100545,331.890625,1105715
difficulty-aware,1789693933.385196,evaluation,50,0.68359375,0.68359375,175,35,46,256,86067,15581,101648,336.19921875,1386166
difficulty-aware,1789694041.1667762,evaluation,60,0.703125,0.703125,180,40,36,256,85871,15581,101452,335.43359375,1684362
difficulty-aware,1789694144.7316368,evaluation,70,0.72265625,0.72265625,185,35,36,256,85864,15581,101445,335.40625,1969555
difficulty-aware,1789694250.630787,evaluation,80,0.7421875,0.7421875,190,38,28,256,85949,15581,101530,335.73828125,2263969
difficulty-aware,1789694356.0781507,evaluation,90,0.76171875,0.76171875,195,35,26,256,87101,15581,102682,340.23828125,2549669
difficulty-aware,1789694461.244296,evaluation,100,0.7734375,0.7734375,198,33,25,256,86570,15581,102151,338.1640625,2828140
difficulty-aware,1789694567.8328156,evaluation,110,0.7734375,0.7734375,198,33,25,256,86498,15581,102079,337.8828125,3115999
difficulty-aware,1789694673.9971983,evaluation,120,0.765625,0.765625,196,35,25,256,86613,15581,102194,338.33203125,3405012
difficulty-aware,1789694777.9418228,evaluation,130,0.7890625,0.7890625,202,31,23,256,86466,15581,102047,337.7578125,3689248
difficulty-aware,1789694884.0308132,evaluation,140,0.796875,0.796875,204,29,23,256,86227,15581,101808,336.82421875,3975672
difficulty-aware,1789694950.3599522,evaluation,141,0.8021228203184231,0.8021228203184231,1058,163,98,1319,458661,80865,539526,347.7338893100834,4008646
