timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,train_batch/mean,train_batch/std,train_batch/max,train_batch/min,train_batch/reward_mean,train_batch/reward_std,train_batch/group_reward_variance_mean,train_batch/advantage_mean,train_batch/advantage_std,train_batch/zero_variance_group_ratio,train_batch/effective_group_ratio,train_batch/effective_rollout_ratio,train_batch/format_reward_mean,train_batch/answer_reward_mean,train_batch/answer_zero_variance_group_ratio,train_batch/all_correct_group_ratio,train_batch/all_wrong_group_ratio,train_batch/mixed_group_ratio,cumulative_generated_response_tokens,cumulative_rollout_tokens,sampling_strategy,batch_complete,attempted_groups,accepted_groups,discarded_zero_variance_groups,resample_rounds,sampling/accepted_generated_response_tokens,accepted_total_rollout_tokens,sampling/discarded_generated_response_tokens,discarded_total_rollout_tokens,sampling/cumulative_attempted_groups,sampling/cumulative_accepted_groups,sampling/cumulative_discarded_zero_variance_groups,sampling/cumulative_discarded_generated_response_tokens,cumulative_discarded_total_rollout_tokens
1789701325.2500148,rollout,0,1,0.6375000476837158,0.5296000242233276,1.100000023841858,0.0,0.6375000476837158,0.5296000242233276,0.14140626788139343,5.4016709327697754e-08,0.8819118142127991,0.125,0.875,0.875,0.75,0.5625,0.25,0.125,0.125,0.75,24519,6152,30671,383.109375,0.6375000476837158,0.5296000242233276,1.100000023841858,0.0,0.6375000476837158,0.5296000242233276,0.14140626788139343,5.4016709327697754e-08,0.8819118142127991,0.125,0.875,0.875,0.75,0.5625,0.25,0.125,0.125,0.75,24519,30671,random,True,8,8,0,0,24519,30671,0,0,8,8,0,0,0
1789701335.3948894,rollout,1,2,0.737500011920929,0.5056819915771484,1.100000023841858,0.0,0.737500011920929,0.5056819915771484,0.20050783455371857,9.685754776000977e-08,0.9428069591522217,0.0,1.0,1.0,0.8125,0.65625,0.0,0.0,0.0,1.0,24234,4344,28578,378.65625,0.737500011920929,0.5056819915771484,1.100000023841858,0.0,0.737500011920929,0.5056819915771484,0.20050783455371857,9.685754776000977e-08,0.9428069591522217,0.0,1.0,1.0,0.8125,0.65625,0.0,0.0,0.0,1.0,48753,59249,random,True,8,8,0,0,24234,28578,0,0,16,16,0,0,0
1789701344.8051085,rollout,2,3,0.7203125357627869,0.5118220448493958,1.100000023841858,0.0,0.7203125357627869,0.5118220448493958,0.14451172947883606,6.705522537231445e-08,0.8819126486778259,0.125,0.875,0.875,0.796875,0.640625,0.25,0.125,0.125,0.75,25036,4160,29196,391.1875,0.7203125357627869,0.5118220448493958,1.100000023841858,0.0,0.7203125357627869,0.5118220448493958,0.14451172947883606,6.705522537231445e-08,0.8819126486778259,0.125,0.875,0.875,0.796875,0.640625,0.25,0.125,0.125,0.75,73789,88445,random,True,8,8,0,0,25036,29196,0,0,24,24,0,0,0
1789701354.261809,rollout,3,4,0.8140624761581421,0.46114668250083923,1.100000023841858,0.0,0.8140624761581421,0.46114668250083923,0.13982422649860382,6.705522537231445e-08,0.8164947032928467,0.25,0.75,0.75,0.953125,0.71875,0.25,0.25,0.0,0.75,23943,3944,27887,374.109375,0.8140624761581421,0.46114668250083923,1.100000023841858,0.0,0.8140624761581421,0.46114668250083923,0.13982422649860382,6.705522537231445e-08,0.8164947032928467,0.25,0.75,0.75,0.953125,0.71875,0.25,0.25,0.0,0.75,97732,116332,random,True,8,8,0,0,23943,27887,0,0,32,32,0,0,0
1789701363.5507796,rollout,4,5,0.6546875834465027,0.526422381401062,1.100000023841858,0.0,0.6546875834465027,0.526422381401062,0.08380859345197678,2.1420419216156006e-08,0.7453503608703613,0.375,0.625,0.625,0.765625,0.578125,0.5,0.375,0.125,0.5,24871,3392,28263,388.609375,0.6546875834465027,0.526422381401062,1.100000023841858,0.0,0.6546875834465027,0.526422381401062,0.08380859345197678,2.1420419216156006e-08,0.7453503608703613,0.375,0.625,0.625,0.765625,0.578125,0.5,0.375,0.125,0.5,122603,144595,random,True,8,8,0,0,24871,28263,0,0,40,40,0,0,0
1789701372.8259802,rollout,5,6,0.8156249523162842,0.4585064649581909,1.100000023841858,0.0,0.8156249523162842,0.4585064649581909,0.1213671863079071,3.725290298461914e-08,0.7453542947769165,0.375,0.625,0.625,0.96875,0.71875,0.375,0.375,0.0,0.625,23679,3536,27215,369.984375,0.8156249523162842,0.4585064649581909,1.100000023841858,0.0,0.8156249523162842,0.4585064649581909,0.1213671863079071,3.725290298461914e-08,0.7453542947769165,0.375,0.625,0.625,0.96875,0.71875,0.375,0.375,0.0,0.625,146282,171810,random,True,8,8,0,0,23679,27215,0,0,48,48,0,0,0
1789701382.1647248,rollout,6,7,0.7531249523162842,0.5011000037193298,1.100000023841858,0.0,0.7531249523162842,0.5011000037193298,0.14863282442092896,5.21540641784668e-08,0.8164947628974915,0.25,0.75,0.75,0.8125,0.671875,0.25,0.25,0.0,0.75,24849,3904,28753,388.265625,0.7531249523162842,0.5011000037193298,1.100000023841858,0.0,0.7531249523162842,0.5011000037193298,0.14863282442092896,5.21540641784668e-08,0.8164947628974915,0.25,0.75,0.75,0.8125,0.671875,0.25,0.25,0.0,0.75,171131,200563,random,True,8,8,0,0,24849,28753,0,0,56,56,0,0,0
1789701391.2602637,rollout,7,8,0.8093750476837158,0.4689463973045349,1.100000023841858,0.0,0.8093750476837158,0.4689463973045349,0.06957031786441803,2.7939677238464355e-08,0.666662335395813,0.5,0.5,0.5,0.90625,0.71875,0.625,0.5,0.125,0.375,21591,3400,24991,337.359375,0.8093750476837158,0.4689463973045349,1.100000023841858,0.0,0.8093750476837158,0.4689463973045349,0.06957031786441803,2.7939677238464355e-08,0.666662335395813,0.5,0.5,0.5,0.90625,0.71875,0.625,0.5,0.125,0.375,192722,225554,random,True,8,8,0,0,21591,24991,0,0,64,64,0,0,0
1789701400.9924638,rollout,8,9,0.828125,0.4561637043952942,1.100000023841858,0.0,0.828125,0.4561637043952942,0.11136719584465027,3.818422555923462e-08,0.6666653156280518,0.5,0.5,0.5,0.9375,0.734375,0.5,0.5,0.0,0.5,23438,4432,27870,366.21875,0.828125,0.4561637043952942,1.100000023841858,0.0,0.828125,0.4561637043952942,0.11136719584465027,3.818422555923462e-08,0.6666653156280518,0.5,0.5,0.5,0.9375,0.734375,0.5,0.5,0.0,0.5,216160,253424,random,True,8,8,0,0,23438,27870,0,0,72,72,0,0,0
1789701410.1246579,rollout,9,10,0.971875011920929,0.34201493859291077,1.100000023841858,0.0,0.971875011920929,0.34201493859291077,0.08617188036441803,2.9802322387695312e-08,0.5773491263389587,0.625,0.375,0.375,0.96875,0.875,0.625,0.625,0.0,0.375,21009,3768,24777,328.265625,0.971875011920929,0.34201493859291077,1.100000023841858,0.0,0.971875011920929,0.34201493859291077,0.08617188036441803,2.9802322387695312e-08,0.5773491263389587,0.625,0.375,0.375,0.96875,0.875,0.625,0.625,0.0,0.375,237169,278201,random,True,8,8,0,0,21009,24777,0,0,80,80,0,0,0
1789701427.827139,rollout,10,11,0.887499988079071,0.42482489347457886,1.100000023841858,0.0,0.887499988079071,0.42482489347457886,0.11992189288139343,8.009374141693115e-08,0.8164945840835571,0.25,0.75,0.75,0.90625,0.796875,0.25,0.25,0.0,0.75,21022,3352,24374,328.46875,0.887499988079071,0.42482489347457886,1.100000023841858,0.0,0.887499988079071,0.42482489347457886,0.11992189288139343,8.009374141693115e-08,0.8164945840835571,0.25,0.75,0.75,0.90625,0.796875,0.25,0.25,0.0,0.75,258191,302575,random,True,8,8,0,0,21022,24374,0,0,88,88,0,0,0
